station_id	station_code	station_name	datetime	name	value
29613	TELESKI	Skienselva	2017-06-14T10:05:00Z	TOC_mg_L	2.6
29613	TELESKI	Skienselva	2017-06-14T10:05:00Z	a250	4.98
29613	TELESKI	Skienselva	2017-06-14T10:05:00Z	a254	4.84
29613	TELESKI	Skienselva	2017-06-14T10:05:00Z	a365	0.95
29613	TELESKI	Skienselva	2017-06-14T10:05:00Z	SUVA_254	53.71
29613	TELESKI	Skienselva	2017-06-14T10:05:00Z	E2_E3	5.25
29613	TELESKI	Skienselva	2017-07-06T13:30:00Z	TOC_mg_L	3.5
29613	TELESKI	Skienselva	2017-07-06T13:30:00Z	a250	6.42
29613	TELESKI	Skienselva	2017-07-06T13:30:00Z	a254	6.25
29613	TELESKI	Skienselva	2017-07-06T13:30:00Z	a365	1.26
29613	TELESKI	Skienselva	2017-07-06T13:30:00Z	SUVA_254	55.99
29613	TELESKI	Skienselva	2017-07-06T13:30:00Z	E2_E3	5.08
29613	TELESKI	Skienselva	2017-08-09T12:00:00Z	TOC_mg_L	2.7
29613	TELESKI	Skienselva	2017-08-09T12:00:00Z	a250	5.31
29613	TELESKI	Skienselva	2017-08-09T12:00:00Z	a254	5.17
29613	TELESKI	Skienselva	2017-08-09T12:00:00Z	a365	1.03
29613	TELESKI	Skienselva	2017-08-09T12:00:00Z	SUVA_254	52.24
29613	TELESKI	Skienselva	2017-08-09T12:00:00Z	E2_E3	5.17
29613	TELESKI	Skienselva	2017-09-13T09:50:00Z	TOC_mg_L	3.3
29613	TELESKI	Skienselva	2017-09-13T09:50:00Z	a250	5.97
29613	TELESKI	Skienselva	2017-09-13T09:50:00Z	a254	5.81
29613	TELESKI	Skienselva	2017-09-13T09:50:00Z	a365	1.17
29613	TELESKI	Skienselva	2017-09-13T09:50:00Z	SUVA_254	56.82
29613	TELESKI	Skienselva	2017-09-13T09:50:00Z	E2_E3	5.1
29613	TELESKI	Skienselva	2017-10-04T12:45:00Z	TOC_mg_L	3.2
29613	TELESKI	Skienselva	2017-10-04T12:45:00Z	a250	5.94
29613	TELESKI	Skienselva	2017-10-04T12:45:00Z	a254	5.77
29613	TELESKI	Skienselva	2017-10-04T12:45:00Z	a365	1.16
29613	TELESKI	Skienselva	2017-10-04T12:45:00Z	SUVA_254	55.43
29613	TELESKI	Skienselva	2017-10-04T12:45:00Z	E2_E3	5.12
29613	TELESKI	Skienselva	2017-10-25T11:00:00Z	TOC_mg_L	4
29613	TELESKI	Skienselva	2017-10-25T11:00:00Z	a250	7.5
29613	TELESKI	Skienselva	2017-10-25T11:00:00Z	a254	7.28
29613	TELESKI	Skienselva	2017-10-25T11:00:00Z	a365	1.51
29613	TELESKI	Skienselva	2017-10-25T11:00:00Z	SUVA_254	54.96
29613	TELESKI	Skienselva	2017-10-25T11:00:00Z	E2_E3	4.96
29613	TELESKI	Skienselva	2017-11-01T14:30:00Z	TOC_mg_L	3.6
29613	TELESKI	Skienselva	2017-11-01T14:30:00Z	a250	6.38
29613	TELESKI	Skienselva	2017-11-01T14:30:00Z	a254	6.2
29613	TELESKI	Skienselva	2017-11-01T14:30:00Z	a365	1.26
29613	TELESKI	Skienselva	2017-11-01T14:30:00Z	SUVA_254	58.05
29613	TELESKI	Skienselva	2017-11-01T14:30:00Z	E2_E3	5.05
29613	TELESKI	Skienselva	2017-12-06T15:30:00Z	TOC_mg_L	3.1
29613	TELESKI	Skienselva	2017-12-06T15:30:00Z	a250	5.8
29613	TELESKI	Skienselva	2017-12-06T15:30:00Z	a254	5.64
29613	TELESKI	Skienselva	2017-12-06T15:30:00Z	a365	1.16
29613	TELESKI	Skienselva	2017-12-06T15:30:00Z	SUVA_254	54.93
29613	TELESKI	Skienselva	2017-12-06T15:30:00Z	E2_E3	5.02
