Station ID	Station Code	Station name	Date	Qs	pH	KOND	TURB860	SPM	TOC	PO4-P	TOTP	NO3-N	NH4-N	TOTN	SiO2	As	Pb	Cd	Cu	Zn	Ni	Cr	Ca
29822	MROEDRI	Driva	06.05.2019 09:00	142.429	7.24	4.12	0.61	1.71	1.6	<1	3	150	<2	230	3.021	0.034	0.011	<0.003	0.81	2.4	0.2	0.12	
29822	MROEDRI	Driva	03.06.2019 09:00	120.669	7.13	3.62	<0.3	0.6	1.2	1	1	110	<2	170	3.129								
29822	MROEDRI	Driva	01.07.2019 13:00	103.866	7.13	2.18	0.48	1.96	0.76	2	3	37	<2	73	2.031								
29822	MROEDRI	Driva	05.08.2019 13:00	56.347	7.23	3.58	<0.3	<0.33	0.64	1	2	77	<2	120	2.486	0.039	0.01	<0.003	0.39	0.18	0.11	0.097	
29822	MROEDRI	Driva	02.09.2019 08:00	52.593	7.15	3.35	<0.3	<0.4	0.9	<1	2	58	<2	100	2.743								
29822	MROEDRI	Driva	02.10.2019 09:00	130.937	7.02	3.21	<0.3	0.6	1.1	1	2	110	3	190	2.893	0.03	0.016	<0.003	0.6	0.37	0.17	0.15	
29822	MROEDRI	Driva	04.11.2019 13:00	49.57	7.28	5.28	<0.3	0.42	1.2	<1	2	250	7	350	4.179								
29822	MROEDRI	Driva	02.12.2019 10:00	33.31	7.15	5.14	<0.3	<0.26	0.76	2	5	290	4	340	5.421								
29617	?STEGLO	Glomma	22.01.2017 13:45	521.68	7.22	5.28	9.8	7.18	3.4	8	13	410	29	580	4.436								
29617	?STEGLO	Glomma	14.02.2017 15:00	443.109	7.51	4.93	1.5	1.44	3	2	5	350	28	520	3.514	0.11	0.063	0.006	0.95	1.4	0.51	0.12	
29617	?STEGLO	Glomma	17.02.2017	418.023																			
29617	?STEGLO	Glomma	06.03.2017 14:15	416.856	7.29	5.55	9.9	9.05	3.7	7	16	520	6	715	4.307								
29617	?STEGLO	Glomma	05.04.2017 11:05	468.986	7.29	6	14	12	3.9	12	20	510	13	750	4.393								
29617	?STEGLO	Glomma	02.05.2017	467.204																			
29617	?STEGLO	Glomma	04.05.2017 10:40	467.1	7.54	9.88	2.4	4.09	4.7	5	11	450	13	590	3.9	0.14	0.162	0.008	1.33	2	0.67	0.22	
29617	?STEGLO	Glomma	10.05.2017 15:00	608.723	7.15	5.07	6.2	9.2	4.4	9	16	360	10	575	3.75								
29617	?STEGLO	Glomma	21.05.2017 17:00	1412.472	7.19	4.61	6.2	5.74	5.3	9	14	350	<2	610	3.793								
29617	?STEGLO	Glomma	06.06.2017 20:50	1356.673	7.17	3.86	2.6	5.02	3.3	2	12	220	7	400	3.043								
29617	?STEGLO	Glomma	12.06.2017 12:20	1559.703	7.42	5.68	2.9	4.61	3.7	13	10	300	3	490	3.043								
29617	?STEGLO	Glomma	21.06.2017 12:20	1484.967	7.36	4.28	3	5.99	3.5	8	6	270	16	480	3.214								
29617	?STEGLO	Glomma	03.07.2017 19:45	731.702	7.34	4.43	2	3.54	2.8	4	7	220	3	390	2.829								
29617	?STEGLO	Glomma	02.08.2017	833.076																			
29617	?STEGLO	Glomma	07.08.2017 15:30	947.008	7.29	4.37	2.2	3.17	2.6	7	14	240	16	455	2.679	0.14	0.101	0.008	1.33	0.96	0.51	0.13	
29617	?STEGLO	Glomma	03.09.2017 11:00	730.577	7.24	3.85	1.8	2.67	5.2	2	9	200	11	400	3.129								
29617	?STEGLO	Glomma	02.10.2017	949.833																			
29617	?STEGLO	Glomma	02.10.2017 15:00	949.833	7.27	5.28	6	8.66	4.9	7	14	460	<2	590	3.557	0.19	0.224	0.012	1.34	2.6	0.85	0.28	
29617	?STEGLO	Glomma	06.11.2017 16:20	883.299	7.36	4.84	11	9.79	5.1	10	18	340	<2	550	4.05								
29617	?STEGLO	Glomma	04.12.2017 06:30	677.425	7.27	5.04	14	21.7	6	20	20	370	<2	680	4.671								
29617	?STEGLO	Glomma	08.01.2018 13:40	643.533	7.12	5.22	5.2	3.73	4	6	9	410	<2	640	4.2								
29617	?STEGLO	Glomma	05.02.2018 14:10	573.206	7.13	5.56	6.5	4.72	3.7	8	9	430	23	650	4.029	0.14	0.199	0.011	1.25	5.7	0.72	0.24	
29617	?STEGLO	Glomma	04.03.2018 14:00	396.012	7.14	5.52	1.2	1.09	3.1	3	5	330	36	555	3.857								
