ProjectId	ProjectName	StationId	StationCode	StationName	SampleDate	DOC	DOC	TOC
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	25.10.2017 11:00		4.1	4
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	01.11.2017 14:30		3.4	3.6
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	06.12.2017 15:30		3.1	3.1
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	08.01.2018 15:10		2.5	2.6
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	06.02.2018 15:15		2.5	2.5
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	08.03.2018 14:00		2.4	2.4
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	04.04.2018 13:00		2.3	2.3
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	09.05.2018 00:00		2.3	2.3
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	11.06.2018 13:15		2.3	2.1
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	04.07.2018 12:30		2.5	2.4
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	13.08.2018 12:10		2	2.4
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	04.09.2018 07:10		1.78	1.79
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	01.10.2018 09:00		2.3	2.4
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	05.11.2018 08:00		2.3	2.3
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.12.2018 10:00		2.6	2.6
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	14.01.2019 10:00		2.4	2.4
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	05.02.2019 10:00		2.3	2.3
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	11.03.2019 09:00		2.4	2.5
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	01.04.2019 09:00		2.4	2.5
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	06.05.2019 09:00		2.2	2.2
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.06.2019 09:00		2.5	2.6
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	01.07.2019 09:00		2.7	2.8
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	06.08.2019 09:00		2.5	2.5
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.09.2019 09:00		2.9	2.9
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	14.10.2019 09:00		2.9	2.9
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	04.11.2019 09:00		3	3.2
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	09.12.2019 09:00		2.8	2.8
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	14.01.2020 09:00		2.9	2.8
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	04.02.2020 09:00		2.8	2.8
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	09.03.2020 09:00		2.8	2.8
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	14.04.2020 09:00		2.6	2.7
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	04.05.2020 09:00		2.7	2.7
