ProjectId	ProjectName	StationId	StationCode	StationName	SampleDate	Depth1	Depth2	A254	A285	A365	A410
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	03.02.2020 15:30:00	0	0	0.122112	0.085196	0.024252	0.011036
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	02.03.2020 14:40:00	0	0	0.119016	0.082838	0.023186	0.010458
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	14.04.2020 12:00:00	0	0	0.1215898	0.084502	0.02397	0.010936
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	04.05.2020 12:15:00	0	0	0.133292	0.093046	0.026762	0.01217
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	11.05.2020 11:35:00	0	0	0.127342	0.088732	0.025286	0.011696
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	25.05.2020 08:15:00	0	0	0.128824	0.089636	0.02556	0.01173
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	02.06.2020 12:10:00	0	0	0.12463	0.086478	0.02453	0.011286
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	15.06.2020 12:00:00	0	0	0.13688	0.095158	0.026952	0.012292
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	22.06.2020 08:45:00	0	0	0.125796	0.086894	0.024072	0.010896
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	06.07.2020 12:15:00	0	0	0.107534	0.068574	0.0163938	0.00602
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	03.08.2020 12:20:00	0	0	0.130314	0.090314	0.025204	0.011318
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	07.09.2020 12:10:00	0	0	0.11276	0.077706	0.020964	0.009408
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	05.10.2020 11:45:00	0	0	0.208344	0.147472	0.043174	0.02002
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	02.11.2020 12:50:00	0	0	0.18106	0.127474	0.03737	0.017424
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	07.12.2020 13:15:00	0	0	0.136174	0.095116	0.027292	0.0125018
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	25.01.2017 11:05:00	0	0	0.09043	0.062684	0.01767	0.00783
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	16.02.2017 00:00:00	0	0				
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	17.02.2017 00:00:00	0	0				
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	22.02.2017 13:15:00	0	0	0.0916298	0.063696	0.018292	0.0084358
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	14.03.2017 10:45:00	0	0	0.091944	0.064746	0.0173098	0.007832
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	06.04.2017 11:25:00	0	0	0.08514	0.058988	0.016506	0.007402
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.05.2017 00:00:00	0	0				
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.05.2017 12:30:00	0	0	0.084174	0.057728	0.015764	0.006956
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	14.06.2017 10:05:00	0	0	0.105096	0.072988	0.020598	0.009186
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	06.07.2017 13:30:00	0	0	0.135708	0.094676	0.027456	0.012456
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.08.2017 00:00:00	0	0				
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	09.08.2017 12:00:00	0	0	0.112216	0.077522	0.022316	0.010328
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	13.09.2017 09:50:00	0	0	0.126096	0.087848	0.02543	0.011582
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.10.2017 00:00:00	0	0				
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	04.10.2017 12:45:00	0	0	0.12534	0.087512	0.025168	0.011284
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	25.10.2017 11:00:00	0	0	0.158022	0.111252	0.032804	0.015072
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	01.11.2017 14:30:00	0	0	0.134638	0.094256	0.027438	0.012484
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	06.12.2017 15:30:00	0	0	0.122524	0.086224	0.02508	0.0112298
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	08.01.2018 15:10:00	0	0	0.1075978	0.075154	0.021976	0.010132
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	06.02.2018 15:15:00	0	0	0.10091	0.070416	0.02056	0.009466
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	08.03.2018 14:00:00	0	0	0.098762	0.068652	0.019528	0.008784
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	04.04.2018 13:00:00	0	0	0.095344	0.065144	0.0182118	0.0079842
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	09.05.2018 00:00:00	0	0	0.092678	0.06367	0.017544	0.007538
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	11.06.2018 13:15:00	0	0	0.09768	0.067416	0.01877	0.008164
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	04.07.2018 12:30:00	0	0	0.100226	0.068948	0.019572	0.008862
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	13.08.2018 12:10:00	0	0	0.069454	0.0467178	0.01262	0.005854
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	04.09.2018 07:10:00	0	0	0.064094	0.043088	0.01163	0.005432
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	01.10.2018 09:00:00	0	0	0.08898	0.061144	0.017146	0.007802
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	05.11.2018 08:00:00	0	0	0.091048	0.062696	0.017584	0.00789
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.12.2018 10:00:00	0	0	0.1068718	0.074284	0.021198	0.009506
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	14.01.2019 10:00:00	0	0	0.095562	0.066332	0.01868	0.008358
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	05.02.2019 10:00:00	0	0	0.095636	0.066308	0.018608	0.008232
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	11.03.2019 09:00:00	0	0	0.099918	0.0693098	0.0195938	0.008798
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	01.04.2019 09:00:00	0	0	0.098094	0.067872	0.019124	0.0084942
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	06.05.2019 09:00:00	0	0	0.091328	0.063012	0.017476	0.007666
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.06.2019 09:00:00	0	0	0.103208	0.071342	0.020372	0.009164
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	01.07.2019 09:00:00	0	0	0.114436	0.079562	0.02313	0.010762
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	06.08.2019 09:00:00	0	0	0.097046	0.066964	0.018564	0.008118
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.09.2019 09:00:00	0	0	0.113666	0.078746	0.02239	0.010232
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	14.10.2019 09:00:00	0	0	0.112518	0.07779	0.021806	0.009628
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	04.11.2019 09:00:00	0	0	0.126642	0.08851	0.025802	0.011836
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	09.12.2019 09:00:00	0	0	0.115964	0.08094	0.023208	0.01037
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	14.01.2020 09:00:00	0	0	0.103972	0.072122	0.020436	0.009008
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	04.02.2020 09:00:00	0	0	0.107998	0.075086	0.021264	0.00935
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	09.03.2020 09:00:00	0	0	0.112204	0.078326	0.022402	0.009986
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	14.04.2020 09:00:00	0	0	0.10798	0.075148	0.021498	0.009642
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	04.05.2020 09:00:00	0	0	0.104094	0.072194	0.020414	0.009018
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	02.06.2020 09:00:00	0	0	0.095816	0.066132	0.018682	0.008454
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	06.07.2020 09:00:00	0	0	0.084752	0.054436	0.013256	0.00488
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.08.2020 09:00:00	0	0	0.109842	0.076376	0.021666	0.009518
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	07.09.2020 09:00:00	0	0	0.119598	0.082828	0.023624	0.010546
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	05.10.2020 09:00:00	0	0	0.131036	0.091478	0.026368	0.011944
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	02.11.2020 09:00:00	0	0	0.155006	0.109194	0.032498	0.01488
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	07.12.2020 09:00:00	0	0	0.12986	0.091008	0.02658	0.012014
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	23.01.2017 13:30:00	0	0	0.093096	0.065612	0.020138	0.00942
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	06.02.2017 17:53:00	0	0	0.081464	0.0571582	0.016982	0.007512
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	06.03.2017 10:15:00	0	0	0.122568	0.086426	0.02553	0.01098
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	03.04.2017 09:20:00	0	0	0.084426	0.059164	0.017634	0.007942
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	08.05.2017 11:00:00	0	0				
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	08.05.2017 11:00:00	0	0	0.06771	0.046256	0.0130298	0.005526
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	06.06.2017 12:40:00	0	0	0.067616	0.047222	0.013928	0.00643
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	03.07.2017 09:00:00	0	0	0.09332	0.064832	0.019016	0.008538
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	07.08.2017 11:15:00	0	0	0.138076	0.097106	0.029234	0.013278
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	11.09.2017 08:31:00	0	0	0.198742	0.142386	0.043466	0.01954
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	09.10.2017 12:45:00	0	0	0.181316	0.129898	0.04068	0.018824
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	26.10.2017 19:10:00	0	0	0.264036	0.191208	0.060648	0.028074
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	06.11.2017 10:32:00	0	0	0.16748	0.1200058	0.037656	0.01753
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	06.12.2017 08:05:00	0	0	0.122824	0.088036	0.02762	0.0127698
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	03.01.2018 14:30:00	0	0	0.129516	0.0928	0.029422	0.013924
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	07.02.2018 00:00:00	0	0				
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	07.02.2018 11:11:00	0	0	0.119956	0.085478	0.026758	0.012362
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	06.03.2018 08:30:00	0	0	0.085228	0.060262	0.01834	0.008326
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	03.04.2018 08:30:00	0	0	0.068968	0.04825	0.014506	0.0066082
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	07.05.2018 00:00:00	0	0				
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	07.05.2018 08:30:00	0	0	0.102116	0.072432	0.022152	0.01008
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	07.05.2018 08:55:00	0	0				
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	04.06.2018 13:50:00	0	0	0.069872	0.046922	0.01286	0.005432
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	02.07.2018 13:58:00	0	0	0.07134	0.04903	0.01416	0.00641
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	06.08.2018 00:00:00	0	0				
12564	Elveoverv†kings hovedelver 2021-25	40354	VAGEOTR	Otra	06.08.2018 09:02:00	0	0	0.051022	0.0344118	0.00942	0.004168
